isim,alternatif,durum,tur,kategori,yazar,cizer,son_guncelleme,ozet,c_3,bolum,resim
Canavar Yiyen,"Monster Devourer, 먹뀌싸",Ongoing,Manhwa,"['Aksiyon', 'Doğaüstü', 'Dram', 'Fantastik', 'Seinen']","Kim Soong-Nyung, PTJ COMICS","Team Sungnyung [Add, ]",10 Haziran 2025,Canavar Yiyen:[Monster Devourer],,16,https://cdn.hellowebtoon.xyz/2FdroCm140aCfam32/gbcs/classico/sn6P4VVGvuIBDbZZegyyFri1HOd515Xv.webp
It Feels So Wrong to Bite People [Tamamlandı],"Biting Someone Is Wrong, It Feels So Wrong to Bite People, It Is Wrong To Bite Someone, 咬人是不对的",Completed,Manhua,"['Aksiyon', 'Canavar', 'Dedektif', 'Fantazi', 'Gizem', 'Kıyamet', 'Komedi', 'Lise', 'Okul Hayatı']","Shou Si Jun, 咬人是不对的 [Add, ]","Shou Si Jun, 怪化猫工作室",10 Haziran 2025,It Feels So Wrong to Bite People:,,116,https://cdn.hellowebtoon.xyz/2FdroCm140aCfam32/gbcs/classico/EZbdqzngG4IQfxIohNQCHasrU1brpy7F.webp
Sima Klanı’nın İkiz Kılıçları,"The Twin Swords Of The Sima, The Twin Swords of the Sima Clan, 邪魔雙�, 사마쌍협",Hiatus,Manhwa,"['Aksiyon', 'Dövüş Sanatları', 'Dram', 'Shounen', 'Tarihsel']","WHYNOTME PRODUCTION, Wol-In",WHYNOTME PRODUCTION,3 Haziran 2025,"Sima Klanı’nın İkiz Kılıçları:[The Twin Swords Of The Sima Clan]
Muhterem bilgenin hizmetkârı Jawun-yeop, ‘Ailemizin reisi aptalın önde gideni’ diye düşündü.",,34,https://cdn.hellowebtoon.xyz/2FdroCm140aCfam32/gbcs/classico/gNqD2uhVkxbdMuRKe5jeGyfiXpil0GzH.webp
Hayalet Çekiç,,Ongoing,Manhwa,"['Aksiyon', 'Fantastik', 'Genç']",Baek jun-young,Baek jun-young,30 Mayıs 2025,Acemi Melek Yu Dante’nin korkunç romantik maceraları.,,3,https://cdn.hellowebtoon.xyz/2FdroCm140aCfam32/gbcs/classico/hXGhiCSk4yYe1SmbDzRtKgmEbSMAKmvs.webp
Ruhsuz Kafirlerin Gecesi,영혼 없는 불경자의 밤,Hiatus,Manhwa,"['Aksiyon', 'Dram', 'Fantastik', 'Shounen']",Hong Jeong Hoon,Studio Inus,26 Mayıs 2025,Size (Yetenek Yutan Büyücü)’yü yapan stüdyodan],,31,https://cdn.hellowebtoon.xyz/2FdroCm140aCfam32/gbcs/classico/V024QOgBB0MiRtXzgUP4C0okB0vqTZbM.webp
Webtoon Karakteri Na Kang Lim,,Completed,Manhwa,[],LEE Kyung-Min,SONG JoonHyuk,20 Mayıs 2025,"[Makine]Webtoon Karakteri Na Kang Lim[Makine]: [Webtoon Character Na Kang Lim]
Na Kang Lim, webtoon hayranı bir lise öğrencisidir. Hayatı normal ve sıkıcı olmasına rağmen bir gün her şey değişir. En sevdiği webtoon’daki kız ana karakter gerçek dünyaya gelmiş ve Na Kang-Lim’in sınıfına nakil olmuştur! Webtoon’daki tehlikeler gerçek hayatta da yaşanmaya başlayınca kız ana karakteri koruyacak birine ihtiyaç duyulur. Na Kang Lim bu koruyucu rolünü üstlenir ve zamanda geriye giderek kızı kurtarır. Artık hikâyenin yeni ana karakteri Na Kang-Lim’dir!",,172,https://cdn.hellowebtoon.xyz/2FdroCm140aCfam32/gbcs/classico/CgMmFiYUUlmtSFikErpp90zKW6eHNFDS.webp
Urek Mazino,"Tower of God: Urek's Ascent, 우렉 마지노",Hiatus,Manhwa,"['Aksiyon', 'Dram', 'Fantastik', 'Macera', 'Shounen']",SIU,SIU,18 Mayıs 2025,Serisinin İlk Yan Hikâyesi!,,6,https://cdn.hellowebtoon.xyz/2FdroCm140aCfam32/gbcs/classico/k20pgZZuqeRtBNwBup3tQ7QO5lfqI4uZ.webp
Bones,Bones,Completed,Manhwa,"['Aksiyon', 'Dram', 'Fantastik', 'Korku', 'Lise', 'Okul', 'Shounen']",OnGoing,OnGoing,20 Nisan 2025,Bones,,999,https://cdn.hellowebtoon.xyz/2FdroCm140aCfam32/gbcs/classico/RrG4ew16qwziP9MxfWnDHK4kElL7OkTq.webp
A Wife Who Heals With Tights,"Tights de Iyashite Kureru Yome, タイツで癒してくれる嫁, 老婆用连裤袜来治愈我",Completed,Manhwa,"['Ecchi', 'Komedi', 'Manga', 'Romantizm', 'Yaşamdan Kesitler']",Grande,Grande,2 Nisan 2025,"Sömürücü bir şirkette durmaksızın çalışan bir koca, işten eve döndüğünde günlük yorgunluğunu iyileştiren/gideren tatlı, beyaz saçlı karısının müstehcen ve sevgi dolu hikayesi.",,39,https://golgebahcesi.com/wp-content/uploads/2023/05/71kMyekimOL._UF10001000_QL80_.jpg
Arad’ın Işığı: Kehanet,"Light of Arad: Forerunner, Light of Arad: He Who Walks First, 아라드의 빛: 먼저 걷는 자",Ongoing,Manhwa,"['Aksiyon', 'Dram', 'Fantastik', 'Seinen']","Jegal Bokja Lee Soo Baek [Add, ]",Funky Creature,1 Nisan 2025,"Arad’ın Işığı: Kehanet:[Light of Arad: Forerunner]
Yalnız Yükseliş ve Bilge Okuyucunun Bakış Açısı, Düşüşten Sonraki Dünya ve çok daha fazlasını getiren Redice Stüdyo’nun yeni serisi!]",,24,https://cdn.hellowebtoon.xyz/2FdroCm140aCfam32/gbcs/classico/HXX4FuDfIBJIsEF71Fwo2m9f99nD0iPH.webp
